Sampling Rate : 128 Hz,Duration : 10 Minutes
Time,PPG
1.7421875,-58813.6875
1.75,-58805.17969
1.7578125,-58799.29297
1.765625,-58795.53125
1.7734375,-58793.81641
1.78125,-58795.77734
1.7890625,-58804.29297
1.796875,-58820.84766
1.8046875,-58840.39063
1.8125,-58855.16016
1.8203125,-58857.37109
1.828125,-58847.70313
1.8359375,-58835.86328
1.84375,-58834.81641
1.8515625,-58852.39844
1.859375,-58883.08984
1.8671875,-58913.55078
1.875,-58929.20313
1.8828125,-58926.03516
1.890625,-58912.27734
1.8984375,-58902.10938
1.90625,-58906.17188
1.9140625,-58923.81641
1.921875,-58946.77344
1.9296875,-58964.625
1.9375,-58972.99219
1.9453125,-58975.50781
1.953125,-58978.92578
1.9609375,-58990.09375
1.96875,-59010.77344
1.9765625,-59039.23438
1.984375,-59071.30469
1.9921875,-59101.63672
2,-59131.71094
2.0078125,-59143.90234
2.015625,-59152.05078
2.0234375,-59164.39453
2.03125,-59191.08203
2.0390625,-59234.14453
2.046875,-59285.98047
2.0546875,-59331.99219
2.0625,-59359.93359
2.0703125,-59369.76563
2.078125,-59373.88672
2.0859375,-59390.23047
2.09375,-59429.54297
2.1015625,-59488.39844
2.109375,-59552.71094
2.1171875,-59605.88672
2.125,-59641.96484
2.1328125,-59665.51563
2.140625,-59688.98438
2.1484375,-59723.06641
2.15625,-59770.89453
2.1640625,-59827.88281
2.171875,-59883.72656
2.1796875,-59929.16016
2.1875,-59956.94141
2.1953125,-59964.83203
2.203125,-59955.98438
2.2109375,-59936.80859
2.21875,-59916.74609
2.2265625,-59902.14063
2.234375,-59894.37891
2.2421875,-59888.37891
2.25,-59874.96484
2.2578125,-59846.39063
2.265625,-59798.37109
2.2734375,-59734.57813
2.28125,-59662.03906
2.2890625,-59589.62109
2.296875,-59523.96875
2.3046875,-59467.44531
2.3125,-59419.41016
2.3203125,-59376.77344
2.328125,-59336.90234
2.3359375,-59298.3125
2.34375,-59260.79688
2.3515625,-59225.55859
2.359375,-59192.0625
2.3671875,-59160.44922
2.375,-59128.69922
2.3828125,-59095.75781
2.390625,-59061.64844
2.3984375,-59028.02734
2.40625,-58997.82031
2.4140625,-58972.03125
2.421875,-58950.26563
2.4296875,-58928.72266
2.4375,-58903.5
2.4453125,-58873.77344
2.453125,-58842.21094
2.4609375,-58816.46484
2.46875,-58803.16016
2.4765625,-58805.40625
2.484375,-58820.44141
2.4921875,-58840.75
2.5,-58855.32422
2.5078125,-58866.34766
2.515625,-58867.38281
2.5234375,-58860.16016
2.53125,-58849.08984
2.5390625,-58839.65625
2.546875,-58833.29297
2.5546875,-58827.80469
2.5625,-58816.15625
2.5703125,-58794.30469
2.578125,-58769.13672
2.5859375,-58758.51563
2.59375,-58782.31641
2.6015625,-58839.86719
2.609375,-58900.91797
2.6171875,-58918.94531
2.625,-58869.60938
2.6328125,-58783.99219
2.640625,-58738.29688
2.6484375,-58796.04688
2.65625,-58935.57422
2.6640625,-59037.51172
2.671875,-58965.94922
2.6796875,-58698.40234
2.6875,-58406.07031
2.6953125,-58380.64844
2.703125,-58836.58984
2.7109375,-59711.05469
2.71875,-60634.57813
2.7265625,-61126.75391
2.734375,-60907.30859
2.7421875,-60105.12891
2.75,-59200.67578
2.7578125,-58728.85156
2.765625,-58946.44141
2.7734375,-59686.18359
2.78125,-60499.76172
2.7890625,-60960.47656
2.796875,-60920.41797
2.8046875,-60547.22656
2.8125,-60153.84375
2.8203125,-59967.85938
2.828125,-60006.29297
2.8359375,-60123.15234
